total_cases novelDailyCases active_cases total_deaths daily_deaths
8.413000000000000000e+03 9.300000000000000000e+01 6.789000000000000000e+03 8.400000000000000000e+01 3.000000000000000000e+00
8.565000000000000000e+03 1.520000000000000000e+02 6.527000000000000000e+03 9.100000000000000000e+01 7.000000000000000000e+00
8.652000000000000000e+03 8.700000000000000000e+01 6.325000000000000000e+03 9.400000000000000000e+01 3.000000000000000000e+00
8.799000000000000000e+03 1.470000000000000000e+02 6.085000000000000000e+03 1.020000000000000000e+02 8.000000000000000000e+00
8.897000000000000000e+03 9.800000000000000000e+01 5.884000000000000000e+03 1.040000000000000000e+02 2.000000000000000000e+00
8.961000000000000000e+03 6.400000000000000000e+01 5.684000000000000000e+03 1.110000000000000000e+02 7.000000000000000000e+00
9.037000000000000000e+03 7.600000000000000000e+01 5.410000000000000000e+03 1.200000000000000000e+02 9.000000000000000000e+00
9.137000000000000000e+03 1.000000000000000000e+02 5.281000000000000000e+03 1.260000000000000000e+02 6.000000000000000000e+00
9.241000000000000000e+03 1.040000000000000000e+02 4.966000000000000000e+03 1.310000000000000000e+02 5.000000000000000000e+00
9.332000000000000000e+03 9.100000000000000000e+01 4.665000000000000000e+03 1.390000000000000000e+02 8.000000000000000000e+00
9.478000000000000000e+03 1.460000000000000000e+02 4.523000000000000000e+03 1.440000000000000000e+02 5.000000000000000000e+00
9.583000000000000000e+03 1.050000000000000000e+02 4.398000000000000000e+03 1.520000000000000000e+02 8.000000000000000000e+00
9.661000000000000000e+03 7.800000000000000000e+01 4.275000000000000000e+03 1.580000000000000000e+02 6.000000000000000000e+00
9.786000000000000000e+03 1.250000000000000000e+02 4.216000000000000000e+03 1.620000000000000000e+02 4.000000000000000000e+00
9.887000000000000000e+03 1.010000000000000000e+02 4.155000000000000000e+03 1.650000000000000000e+02 3.000000000000000000e+00
9.976000000000000000e+03 8.900000000000000000e+01 3.979000000000000000e+03 1.690000000000000000e+02 4.000000000000000000e+00
1.006200000000000000e+04 8.600000000000000000e+01 3.867000000000000000e+03 1.740000000000000000e+02 5.000000000000000000e+00
1.015600000000000000e+04 9.400000000000000000e+01 3.654000000000000000e+03 1.770000000000000000e+02 3.000000000000000000e+00
1.023700000000000000e+04 8.100000000000000000e+01 3.591000000000000000e+03 1.830000000000000000e+02 6.000000000000000000e+00
1.028400000000000000e+04 4.700000000000000000e+01 3.500000000000000000e+03 1.860000000000000000e+02 3.000000000000000000e+00
1.033100000000000000e+04 4.700000000000000000e+01 3.445000000000000000e+03 1.920000000000000000e+02 6.000000000000000000e+00
1.038400000000000000e+04 5.300000000000000000e+01 3.408000000000000000e+03 2.000000000000000000e+02 8.000000000000000000e+00
1.042300000000000000e+04 3.900000000000000000e+01 3.246000000000000000e+03 2.040000000000000000e+02 4.000000000000000000e+00
1.045000000000000000e+04 2.700000000000000000e+01 3.125000000000000000e+03 2.080000000000000000e+02 4.000000000000000000e+00
1.048000000000000000e+04 3.000000000000000000e+01 3.026000000000000000e+03 2.110000000000000000e+02 3.000000000000000000e+00
1.051200000000000000e+04 3.200000000000000000e+01 2.930000000000000000e+03 2.140000000000000000e+02 3.000000000000000000e+00
1.053700000000000000e+04 2.500000000000000000e+01 2.873000000000000000e+03 2.170000000000000000e+02 3.000000000000000000e+00
1.056400000000000000e+04 2.700000000000000000e+01 2.808000000000000000e+03 2.220000000000000000e+02 5.000000000000000000e+00
1.059100000000000000e+04 2.700000000000000000e+01 2.750000000000000000e+03 2.250000000000000000e+02 3.000000000000000000e+00
1.061300000000000000e+04 2.200000000000000000e+01 2.627000000000000000e+03 2.290000000000000000e+02 4.000000000000000000e+00
1.063500000000000000e+04 2.200000000000000000e+01 2.576000000000000000e+03 2.300000000000000000e+02 1.000000000000000000e+00
1.065300000000000000e+04 1.800000000000000000e+01 2.484000000000000000e+03 2.320000000000000000e+02 2.000000000000000000e+00
1.066100000000000000e+04 8.000000000000000000e+00 2.385000000000000000e+03 2.340000000000000000e+02 2.000000000000000000e+00
